label,Z'(1),Z'(2),Z'(3),Z'(4),Z'(5),Z'(6),Z'(7),Z'(8),Z'(9),Z'(10),Z'(11),Z'(12),Z'(13),Z'(14),Z'(15),Z'(16),Z'(17),Z'(18),Z'(19),Z'(20),Z'(21),Z'(22),Z'(23),Z'(24),Z'(25),Z'(26),Z'(27),Z'(28),Z'(29),Z'(30),Z'(31),Z'(32),Z'(33),Z'(34),Z'(35),Z'(36),Z'(37),Z'(38),Z'(39),Z'(40),Z'(41),Z'(42),Z'(43),Z'(44),Z'(45),Z'(46),Z'(47),Z'(48),Z'(49),Z'(50),Z'(51),Z'(52),Z'(53),Z'(54),Z'(55),Z'(56),Z'(57),Z'(58),Z'(59),Z'(60),Z'(61),Z'(62),Z'(63),Z'(64),Z'(65),Z'(66),Z'(67),Z'(68),Z'(69),Z'(70),Z'(71),Z'(72),Z'(73),Z'(74),Z'(75),Z'(76),Z'(77),Z'(78),Z'(79),Z'(80),-Z''(1),-Z''(2),-Z''(3),-Z''(4),-Z''(5),-Z''(6),-Z''(7),-Z''(8),-Z''(9),-Z''(10),-Z''(11),-Z''(12),-Z''(13),-Z''(14),-Z''(15),-Z''(16),-Z''(17),-Z''(18),-Z''(19),-Z''(20),-Z''(21),-Z''(22),-Z''(23),-Z''(24),-Z''(25),-Z''(26),-Z''(27),-Z''(28),-Z''(29),-Z''(30),-Z''(31),-Z''(32),-Z''(33),-Z''(34),-Z''(35),-Z''(36),-Z''(37),-Z''(38),-Z''(39),-Z''(40),-Z''(41),-Z''(42),-Z''(43),-Z''(44),-Z''(45),-Z''(46),-Z''(47),-Z''(48),-Z''(49),-Z''(50),-Z''(51),-Z''(52),-Z''(53),-Z''(54),-Z''(55),-Z''(56),-Z''(57),-Z''(58),-Z''(59),-Z''(60),-Z''(61),-Z''(62),-Z''(63),-Z''(64),-Z''(65),-Z''(66),-Z''(67),-Z''(68),-Z''(69),-Z''(70),-Z''(71),-Z''(72),-Z''(73),-Z''(74),-Z''(75),-Z''(76),-Z''(77),-Z''(78),-Z''(79),-Z''(80)
1,-0.450538961,-0.443243757,-0.443243757,-0.443208386,-0.435922025,-0.43590434,-0.435895497,-0.421243191,-0.402912334,-0.399260311,-0.399216097,-0.399180727,-0.395599445,-0.384572634,-0.384554948,-0.373563508,-0.362563225,-0.357850081,-0.34304745,-0.328235976,-0.319074968,-0.302830981,-0.285888423,-0.268945865,-0.251994464,-0.235051906,-0.218100506,-0.201149105,-0.184197704,-0.167237461,-0.149560961,-0.134846757,-0.133316974,-0.112112249,-0.095143163,-0.078174077,-0.044235905,-0.035570087,-0.031882693,-0.027266819,-0.010306575,0.015947315,0.023649282,0.030652678,0.040609525,0.04535804,0.057578611,0.078456158,0.091543311,0.10852124,0.125499169,0.142477097,0.159463869,0.176441798,0.193437412,0.21041534,0.227393269,0.24438004,0.261366812,0.278362426,0.294915906,0.312318283,0.329305054,0.346282983,0.363269755,0.380229998,0.397207927,0.414159327,0.431101885,0.448044443,0.464076206,0.477667392,0.490347782,0.500923617,0.504416472,0.513595165,0.519917675,0.532589223,0.54526077,0.549461039,-0.550256587,-0.452422693,-0.452422693,-0.517632688,-0.403505746,-0.436129645,-0.452422693,-0.354626602,-0.273085756,-0.224168809,-0.305709655,-0.354626602,-0.207875761,-0.191582713,-0.224168809,-0.158958814,-0.11007967,-0.143459627,-0.082332344,-0.026686482,0.019017219,0.049335142,0.080673742,0.119081484,0.153557725,0.185690186,0.212303425,0.236610687,0.256192587,0.269537009,0.297511152,0.297511152,0.287531187,0.28443135,0.285981269,0.273430707,0.263261728,0.281218104,0.264925056,0.260917949,0.265605508,0.216008109,0.237404548,0.216008109,0.244435886,0.216008109,0.230335406,0.216008109,0.189583885,0.161382924,0.140213303,0.122219124,0.093224303,0.06498554,0.0226841,0.002308339,-0.01413592,-0.050199883,-0.087813764,-0.134046705,-0.151284826,-0.184967206,-0.214755888,-0.238269289,-0.260194968,-0.263332609,-0.282914509,-0.250782047,-0.218687389,-0.183417287,-0.140095169,-0.069781783,0.00597522,0.049335142,0.121425264,0.143350943,0.210224266,0.297473349,0.372171871,0.449743413
1,-0.496335565,-0.487298761,-0.478867777,-0.469292468,-0.459161824,-0.44843658,-0.437705726,-0.426980482,-0.416249628,-0.404178119,-0.390760345,-0.377336962,-0.363913578,-0.350490195,-0.337066811,-0.323643428,-0.310220044,-0.296785442,-0.283350839,-0.269916237,-0.256476025,-0.243035813,-0.229589992,-0.216138562,-0.20269274,-0.189246919,-0.175806707,-0.162360886,-0.148915065,-0.135469243,-0.122017813,-0.108566382,-0.095114951,-0.081663521,-0.06821209,-0.054760659,-0.04129801,-0.02784097,-0.01438393,-0.00092128,0.01254137,0.026009629,0.039472278,0.052940537,0.066403187,0.079871446,0.093339705,0.106802354,0.118935567,0.129733734,0.141878166,0.155357644,0.168837122,0.182322209,0.195807296,0.206599854,0.2147111,0.224163002,0.234955559,0.247099991,0.260585078,0.274070166,0.287544034,0.301001074,0.314452505,0.327881498,0.341310491,0.354739484,0.368168477,0.38159186,0.395015244,0.408433018,0.421850792,0.433922301,0.44330128,0.452680259,0.464751768,0.478169542,0.491587317,0.503664435,-0.625611675,-0.563415939,-0.526631484,-0.436506421,-0.398567861,-0.347661365,-0.296775852,-0.24719133,-0.198907798,-0.149323275,-0.100263346,-0.056407378,-0.013600596,0.028157,0.073565763,0.11374958,0.155507176,0.186835865,0.212918625,0.234846609,0.255725407,0.275555019,0.284955724,0.292258058,0.298532189,0.311059468,0.324635933,0.337163211,0.347592119,0.355943638,0.362217769,0.367421731,0.367421731,0.370569288,0.372646676,0.374388325,0.363245971,0.354894452,0.344465545,0.33088908,0.317312615,0.300609577,0.284955724,0.265126112,0.246324702,0.228593461,0.208742866,0.189962439,0.156031769,0.103824282,0.050064,0.01353135,-0.024050487,-0.068934657,-0.117994586,-0.161493831,-0.220667912,-0.265468147,-0.311128714,-0.363336201,-0.412396131,-0.456231115,-0.488608989,-0.493812951,-0.487559804,-0.4572803,-0.421796836,-0.383165813,-0.347661365,-0.310079528,-0.264146173,-0.211959669,-0.163927942,-0.108866669,-0.053637527,-0.004472679,0.049035798,0.101222301,0.149254029,0.197789365
1,-0.520517702,-0.520496753,-0.513122709,-0.505748665,-0.505685818,-0.50107704,-0.493514455,-0.482600031,-0.474178538,-0.462468053,-0.461064471,-0.450673772,-0.450610925,-0.439445114,-0.431358804,-0.419292186,-0.413950194,-0.400898973,-0.375026972,-0.356885147,-0.346515398,-0.309603279,-0.286475594,-0.273571017,-0.229180109,-0.202386352,-0.188999948,-0.144839478,-0.115406149,-0.103674715,-0.076189641,-0.065254268,-0.04221038,-0.029326752,-0.009383314,0.001573007,0.017913219,0.028282968,0.04068477,0.05166204,0.060502514,0.071668325,0.077198858,0.09332958,0.110025924,0.121736409,0.12670132,0.141386561,0.158439038,0.16007306,0.177544517,0.195644443,0.201342568,0.219023515,0.224742589,0.241941709,0.255307165,0.273742275,0.293832356,0.313943385,0.327329789,0.331561485,0.345471614,0.34804834,0.35592516,0.367635645,0.368997329,0.379408977,0.379471824,0.391203258,0.396272913,0.406328428,0.409407929,0.420887975,0.426229968,0.438275636,0.446403844,0.458449513,0.46659867,0.479482298,-0.555491109,-0.54008044,-0.478099069,-0.416287045,-0.362095682,-0.307226926,-0.274881456,-0.23118967,-0.184449619,-0.186143099,-0.121790855,-0.120605419,-0.056930567,-0.055575783,0.017243861,0.022324301,0.09734547,0.097684166,0.187777307,0.253653683,0.262121084,0.337819644,0.381680779,0.386422523,0.430283658,0.438920406,0.444508891,0.43350127,0.410808637,0.415211685,0.364068586,0.360512278,0.305982218,0.307506351,0.248403895,0.256193903,0.189640135,0.192519052,0.126473328,0.135956816,0.069911092,0.068725656,0.021985605,-0.014762913,-0.056253175,-0.058624047,-0.098928874,-0.140757832,-0.159047417,-0.19545724,-0.225262489,-0.248632515,-0.284026249,-0.284534293,-0.314847587,-0.316879763,-0.334491956,-0.326701948,-0.313492803,-0.287074513,-0.291816257,-0.241858594,-0.189360711,-0.220859441,-0.148886537,-0.146515665,-0.096388654,-0.100283658,-0.044229467,-0.030512278,0.019784081,0.023679086,0.089555461,0.088708721,0.170334462,0.176092295,0.255855207,0.261104996,0.354246401,0.356786622
1,-0.505859535,-0.498704412,-0.491549289,-0.484271506,-0.48423062,-0.477198156,-0.465341095,-0.459208132,-0.451644145,-0.441340768,-0.440850131,-0.433204371,-0.427684704,-0.411289251,-0.406464654,-0.388351971,-0.37911164,-0.348978351,-0.342518297,-0.316269217,-0.301427447,-0.283560083,-0.279389668,-0.250850949,-0.245985465,-0.218182701,-0.20951478,-0.1865775,-0.171163321,-0.146304379,-0.137636458,-0.113677018,-0.104395801,-0.078432926,-0.066167001,-0.039181965,-0.037546508,-0.009416653,-0.00933488,0.013888605,0.018917634,0.042754416,0.051994746,0.075340891,0.076076846,0.085603381,0.098114625,0.113406145,0.11426476,0.135689243,0.146973894,0.1689299,0.199144963,0.23181321,0.264440572,0.265953369,0.29322461,0.298703389,0.318001779,0.324666265,0.331167205,0.346008975,0.349606979,0.359174401,0.362772406,0.375896946,0.37847279,0.392006194,0.395563313,0.408728739,0.408892285,0.419727185,0.423120758,0.437063026,0.444872332,0.457015598,0.462576151,0.474392326,0.483714429,0.494140465,-0.105111409,-0.083527517,-0.097755705,-0.073218792,-0.071178523,-0.080574497,-0.05630604,-0.069675168,-0.045138255,-0.053621477,-0.057111409,-0.03273557,-0.045514094,-0.035742282,-0.020279195,-0.024520805,-0.008574497,0.002539597,-0.007661745,0.011022819,0.894888591,0.016069799,0.893761074,0.024928859,0.019344966,0.028794631,0.022727517,0.029116779,0.024338255,0.029277852,0.021063087,0.026163758,0.016338255,0.017626846,0.009143624,0.000821477,0.009734228,-0.012547651,-0.003581208,-0.020332886,-0.009702013,-0.025272483,-0.039608054,-0.038158389,-0.052225503,-0.064950336,-0.050131544,-0.065809396,-0.078856376,-0.085514094,-0.075903356,-0.086695302,-0.087661745,-0.086641611,-0.089863087,-0.08073557,-0.084386577,-0.071232215,-0.056359732,-0.069728859,-0.045138255,-0.033004027,-0.052869799,-0.020762416,-0.038748993,-0.028655034,-0.008842953,0.005707383,-0.018507383,-0.003903356,0.021814765,0.010700671,0.032767785,0.04855302,0.027559732,0.05150604,0.069224161,0.047747651,0.073841611,0.067452349
1,-0.53272228,-0.50476361,-0.49104476,-0.474113267,-0.467774811,-0.449193583,-0.435214249,-0.432348919,-0.402827342,-0.3934499,-0.393363072,-0.389803117,-0.365751715,-0.351859208,-0.35177238,-0.310181688,-0.31009486,-0.268504168,-0.26841734,-0.268330511,-0.230299774,-0.223961318,-0.185235956,-0.185149127,-0.185062299,-0.143732092,-0.143558435,-0.143471607,-0.104919901,-0.101967743,-0.101880915,-0.071664713,-0.060377051,-0.060290223,-0.032939351,-0.029987193,-0.018786359,-0.005241165,0.00873817,0.008824998,0.022370192,0.039214856,0.05041569,0.052846879,0.077853391,0.078027047,0.091572241,0.091659069,0.119270426,0.119444083,0.119530911,0.135941434,0.161034775,0.163986932,0.17831358,0.202799123,0.202885951,0.20957172,0.233536294,0.237356734,0.24794977,0.258629634,0.283288834,0.313939177,0.317064991,0.328352653,0.331478467,0.355877182,0.356050838,0.356224494,0.36968286,0.373416471,0.384096336,0.397554702,0.397815186,0.414312538,0.425339715,0.43931905,0.467190892,0.46727772,-0.441997519,-0.240384615,-0.357630273,-0.15601737,-0.286290323,-0.208126551,-0.142990074,-0.041873449,-0.091501241,-0.017679901,0.059863524,0.148573201,-0.03939206,0.006513648,0.086538462,0.056141439,0.129342432,0.08219603,0.146712159,0.224875931,0.097084367,0.197580645,0.08219603,0.15601737,0.233560794,0.052419355,0.129962779,0.208126551,0.026364764,0.121277916,0.199441687,-0.02016129,0.087158809,0.164702233,-0.103287841,0.000310174,0.104528536,-0.183933002,-0.085918114,0.007133995,-0.265198511,-0.154776675,-0.05117866,-0.336538462,-0.25837469,-0.16780397,-0.427109181,-0.368796526,-0.453163772,-0.301799007,-0.223635236,-0.401054591,-0.310483871,-0.206265509,-0.394230769,-0.214950372,-0.121898263,-0.361972705,-0.050558313,-0.309863524,-0.167183623,0.059863524,-0.172146402,-0.066687345,0.224875931,0.356389578,0.098945409,0.209367246,0.28691067,0.442617866,0.144230769,0.35825062,0.533808933,0.248449132,0.459987593,0.354528536,0.261476427,0.325992556,0.481699752,0.546836228
1,-0.481045474,-0.473416289,-0.468870238,-0.468870238,-0.454094264,-0.444587932,-0.44164637,-0.436523543,-0.424343064,-0.42297453,-0.409027017,-0.388991886,-0.380864575,-0.364735797,-0.351407008,-0.330957646,-0.319170424,-0.312369701,-0.28912035,-0.288873909,-0.274213289,-0.270936148,-0.269017054,-0.251215623,-0.234793212,-0.233859883,-0.215885418,-0.198681737,-0.193873515,-0.169124544,-0.147123129,-0.127884999,-0.110476824,-0.098076121,-0.089482146,-0.078460465,-0.056511483,-0.037310057,-0.015041226,-0.005739389,0.015900231,0.025726411,0.047633445,0.06126111,0.062094814,0.085957646,0.095657984,0.098814527,0.119704336,0.131161222,0.137715505,0.147746179,0.163775332,0.181765527,0.203751213,0.215784875,0.231153357,0.239836471,0.257873856,0.277893257,0.278338948,0.28992692,0.297598052,0.315126825,0.333143237,0.352512453,0.371755827,0.391418674,0.404826115,0.414489749,0.424798325,0.437345843,0.452971253,0.459735273,0.469561453,0.482103728,0.501090174,0.516086372,0.516605472,0.518954526,-0.31061231,-0.303637435,-0.275320084,-0.275320084,-0.257084695,-0.225038839,-0.212878341,-0.215053303,-0.179750362,-0.205571329,-0.153307977,-0.125129908,-0.09689827,-0.072898698,-0.060031071,-0.042299245,-0.015889002,-0.032260138,0.020571061,0.00290352,0.004039214,0.022521026,0.030299459,0.029067338,0.060063213,0.018267531,0.045717041,0.059302512,0.053366904,0.058648953,0.063791718,0.064734558,0.066695238,0.076477206,0.050024107,0.056752558,0.049916966,0.041977822,0.044988482,0.034360101,-0.049563401,0.002399957,-0.015449724,-0.043552794,-0.007049874,-0.051020517,-0.030363744,-0.065205978,-0.089559115,-0.084427064,-0.10009107,-0.100305352,-0.105715969,-0.121337119,-0.142111748,-0.142358172,-0.157047196,-0.147940215,-0.153393689,-0.163968501,-0.152429421,-0.164225639,-0.145872395,-0.114940805,-0.076187925,-0.04152783,0.00858199,0.066630953,0.097648256,0.132458349,0.16794343,0.212889056,0.272384422,0.313976536,0.365243478,0.410189104,0.552386565,0.659881074,0.618138962,0.68938769
1,-0.405639941,-0.405639941,-0.383002494,-0.377373797,-0.377373797,-0.377373797,-0.371554297,-0.349066768,-0.343369927,-0.337673086,-0.332098904,-0.315117412,-0.303778246,-0.286824011,-0.286783125,-0.275484845,-0.269842519,-0.264186565,-0.252888285,-0.241521861,-0.224472224,-0.218911672,-0.207545248,-0.196192452,-0.184935059,-0.173636779,-0.173541377,-0.156641658,-0.150944817,-0.145247976,-0.133963325,-0.122637787,-0.116968204,-0.111298621,-0.08300522,-0.082977962,-0.077335637,-0.077335637,-0.066010099,-0.066010099,-0.060340516,-0.054670932,-0.032033486,-0.026377532,-0.015051994,-0.010227397,0.001997642,0.009398084,0.018938248,0.029009935,0.036015142,0.064390315,0.087900005,0.107525486,0.109828754,0.127164595,0.146803704,0.166442814,0.186095552,0.205734661,0.225401028,0.245053766,0.264692875,0.284331984,0.303930207,0.32352843,0.343126652,0.362711246,0.382309469,0.401894063,0.421465028,0.441049622,0.460634216,0.478583354,0.499789776,0.520982569,0.538918077,0.556853586,0.578046379,0.594360059,-0.398756788,-0.398756788,-0.344260703,-0.289827766,-0.289827766,-0.289827766,-0.562118748,-0.235331681,-0.289827766,-0.344260703,-0.180898743,-0.153619127,-0.153619127,-0.071969721,-0.153619127,-0.071969721,-0.044690105,-0.017473636,0.037022449,-0.017473636,-0.09918619,0.091455386,0.037022449,0.009742833,0.145951471,0.200384409,0.037022449,0.200384409,0.145951471,0.091455386,0.200384409,0.200384409,0.200384409,0.200384409,0.254880494,0.227600878,0.254880494,0.254880494,0.282096963,0.282096963,0.282096963,0.254880494,0.309313431,0.3365299,0.363809516,0.25197572,0.254880494,0.246734497,0.363809516,0.2363152,0.227600878,0.17316794,0.142036341,0.100169708,-0.017473636,0.063481151,0.011132072,-0.03073456,-0.104048529,-0.166880052,-0.261095763,-0.323927286,-0.376339511,-0.418206144,-0.412964922,-0.392000032,-0.360615844,-0.318749211,-0.287301875,-0.24019402,-0.177362497,-0.130254641,-0.072601193,-0.017663078,0.060892113,0.139447304,0.210109087,0.296494538,0.398603656,0.437881252
1,-0.539649483,-0.539630128,-0.535672051,-0.527678476,-0.519636515,-0.51961716,-0.503620334,-0.50356227,-0.503533237,-0.484052529,-0.467504089,-0.447771767,-0.430787841,-0.412245846,-0.393713528,-0.375161855,-0.356610183,-0.33805851,-0.319506837,-0.300945487,-0.282393814,-0.263822787,-0.245261436,-0.226700086,-0.208129058,-0.189558031,-0.170977326,-0.152386943,-0.133806238,-0.115225533,-0.09663515,-0.078044768,-0.059454385,-0.040864003,-0.02227362,-0.003702593,0.014858758,0.033381398,0.050742744,0.065771825,0.079639612,0.093042881,0.107384863,0.121233294,0.128152671,0.139233352,0.149394675,0.162333427,0.172485073,0.185423824,0.195120629,0.202040007,0.211272294,0.220494905,0.229727193,0.240807874,0.249353062,0.259262772,0.266636989,0.275869277,0.285091887,0.294314498,0.303546786,0.312769396,0.321992006,0.331224294,0.340446905,0.349669515,0.358901803,0.368114736,0.377337346,0.386569634,0.395792244,0.405005177,0.414237465,0.423460076,0.432682686,0.441905296,0.451118229,0.460350517,-0.337182334,-0.345157493,-0.321241256,-0.301317218,-0.297334259,-0.305300177,-0.269435062,-0.289359099,-0.301317218,-0.277299327,-0.266875248,-0.249141377,-0.235353499,-0.22500335,-0.215235397,-0.207195549,-0.200865323,-0.195126535,-0.189951461,-0.186504491,-0.183630477,-0.182475326,-0.180183507,-0.179610553,-0.180756462,-0.181902371,-0.186504491,-0.193971385,-0.199146459,-0.206040398,-0.212361382,-0.220983426,-0.230751379,-0.239946378,-0.247422512,-0.249141377,-0.245121453,-0.228450319,-0.211788427,-0.192825475,-0.169833358,-0.148458452,-0.131907454,-0.104322458,-0.087466501,-0.066165524,-0.045012406,-0.02340647,-0.002715412,0.017975645,0.038204642,0.054293579,0.073256531,0.093374634,0.113483495,0.134285447,0.151991595,0.177968621,0.197578458,0.21692954,0.238193552,0.25888461,0.28013938,0.300830438,0.322667404,0.343931416,0.365195428,0.387032395,0.408296407,0.431288524,0.453698446,0.474962458,0.497954575,0.520937451,0.542774418,0.564611384,0.587603501,0.610586378,0.634724404,0.654842507
1,-0.639327307,-0.61213149,-0.588047771,-0.578697457,-0.555538957,-0.555538957,-0.550064748,-0.523030143,-0.519420389,-0.498329613,-0.480322898,-0.454809296,-0.425230341,-0.403922278,-0.382943649,-0.380910972,-0.354822614,-0.340558828,-0.340383598,-0.316517166,-0.29396146,-0.27973973,-0.248506596,-0.222733653,-0.197044821,-0.149339993,-0.132104294,-0.097997375,-0.075448678,-0.054042486,-0.028451783,-0.012050183,-0.00824417,0.010309265,0.026556663,0.034021494,0.054817883,0.077499755,0.098555485,0.118412637,0.137758115,0.140673955,0.161218012,0.161456325,0.183142887,0.183332136,0.1997057,0.20690418,0.220999744,0.224013714,0.229263628,0.240674656,0.240997081,0.248125469,0.252120731,0.257622977,0.265403224,0.265627519,0.267681224,0.273646079,0.277059575,0.286472972,0.289199563,0.294982179,0.305173601,0.312771608,0.315442125,0.318456094,0.324624218,0.325486353,0.330960563,0.333252581,0.339245474,0.343331856,0.347355154,0.348792047,0.351602748,0.356270896,0.358520859,0.360672693,-0.242382368,-0.225012601,-0.211962242,-0.189601037,-0.181390367,-0.181390367,-0.171158192,-0.150818493,-0.141794885,-0.132017955,-0.126582112,-0.110686472,-0.0925959,-0.087024567,-0.087945896,-0.069492212,-0.068467911,-0.07420725,-0.057937659,-0.05856633,-0.058745177,-0.053580313,-0.052507235,-0.046995518,-0.048957407,-0.052561431,-0.055450069,-0.06000252,-0.069270009,-0.071053052,-0.082249913,-0.094622824,-0.082114424,-0.102199403,-0.090308835,-0.113764795,-0.11748263,-0.135426874,-0.148851184,-0.165641056,-0.167245252,-0.188934428,-0.206309615,-0.183970089,-0.216449657,-0.198863107,-0.213355075,-0.19308041,-0.196960833,-0.172794907,-0.148336323,-0.160611681,-0.130050646,-0.101738738,-0.071112668,-0.121162528,-0.080764947,-0.059655667,-0.039440618,0.003758888,0.057320639,0.00087025,0.08441314,0.109581689,0.12586754,0.212168999,0.190929648,0.244269196,0.305640568,0.214304315,0.383146042,0.425641001,0.471040858,0.509709592,0.542221677,0.562247041,0.595843043,0.689043633,0.728021283,0.757617632
1,-0.609785576,-0.584947542,-0.582130459,-0.570075665,-0.543735616,-0.542691297,-0.519961241,-0.496199758,-0.495555117,-0.474082111,-0.468299678,-0.448644561,-0.428738034,-0.421511604,-0.397775907,-0.374117566,-0.355487429,-0.32670419,-0.298488235,-0.27539718,-0.253988638,-0.226700967,-0.223529331,-0.211758179,-0.18407083,-0.181311765,-0.144612329,-0.14425133,-0.116692909,-0.10024166,-0.095658259,-0.068776712,-0.065792023,-0.041817808,-0.016012812,0.007542385,0.008070991,0.031116922,0.049695488,0.05490419,0.074585093,0.07831112,0.101911442,0.12555689,0.141073409,0.14750693,0.180557695,0.182440048,0.19856253,0.216876793,0.222710798,0.246324013,0.2551556,0.258236986,0.260467446,0.268867123,0.273592345,0.282346575,0.288715633,0.294897744,0.309705157,0.314256326,0.320999275,0.325054069,0.328734972,0.331925947,0.336032313,0.33984859,0.343651974,0.35074303,0.354346575,0.357950121,0.364705963,0.368947703,0.372725302,0.37627083,0.38035141,0.384070991,0.388983159,0.390214424,-0.264043765,-0.246426076,-0.252053202,-0.238907117,-0.212518206,-0.21366298,-0.199710716,-0.187553544,-0.186043303,-0.171413849,-0.173536786,-0.161288246,-0.163685284,-0.150308095,-0.141037041,-0.139994384,-0.134775721,-0.127772717,-0.120866454,-0.120484863,-0.118630652,-0.116577584,-0.11448152,-0.118120072,-0.114820115,-0.113395866,-0.11515871,-0.123763322,-0.126197981,-0.118082451,-0.128761629,-0.120500986,-0.126020622,-0.126547325,-0.136323584,-0.145245293,-0.139387062,-0.152178429,-0.152769626,-0.142337676,-0.147599335,-0.162218039,-0.167151852,-0.167189473,-0.158359131,-0.168001027,-0.156150202,-0.165120282,-0.153108221,-0.155505259,-0.133577202,-0.105790915,-0.09563844,-0.072587108,-0.057473947,-0.022356809,-0.056549529,-0.02522143,0.02080599,0.047941961,0.093173952,0.126281018,0.1679497,0.193355073,0.223855495,0.261917872,0.278745506,0.323198191,0.365785917,0.399871146,0.422519389,0.445167631,0.487416762,0.532299409,0.572393356,0.6379088,0.66013783,0.69499699,0.735956235,0.633302833
