Type,Z'1,Z'2,Z'3,Z'4,Z'5,Z'6,Z'7,Z'8,Z'9,Z'10,Z'11,Z'12,Z'13,Z'14,Z'15,Z'16,Z'17,Z'18,Z'19,Z'20,Z'21,Z'22,Z'23,Z'24,Z'25,Z'26,Z'27,Z'28,Z'29,Z'30,Z'31,Z'32,Z'33,Z'34,Z'35,Z'36,Z'37,Z'38,Z'39,Z'40,Z'41,Z'42,Z'43,Z'44,Z'45,Z'46,Z'47,Z'48,Z'49,Z'50,Z'51,Z'52,Z'53,Z'54,Z'55,Z'56,Z'57,Z'58,Z'59,Z'60,Z'61,Z'62,Z'63,Z'64,Z'65,Z'66,Z'67,Z'68,Z'69,Z'70,Z'71,Z'72,Z'73,Z'74,Z'75,Z'76,Z'77,Z'78,Z'79,Z'80,-Z''1,-Z''2,-Z''3,-Z''4,-Z''5,-Z''6,-Z''7,-Z''8,-Z''9,-Z''10,-Z''11,-Z''12,-Z''13,-Z''14,-Z''15,-Z''16,-Z''17,-Z''18,-Z''19,-Z''20,-Z''21,-Z''22,-Z''23,-Z''24,-Z''25,-Z''26,-Z''27,-Z''28,-Z''29,-Z''30,-Z''31,-Z''32,-Z''33,-Z''34,-Z''35,-Z''36,-Z''37,-Z''38,-Z''39,-Z''40,-Z''41,-Z''42,-Z''43,-Z''44,-Z''45,-Z''46,-Z''47,-Z''48,-Z''49,-Z''50,-Z''51,-Z''52,-Z''53,-Z''54,-Z''55,-Z''56,-Z''57,-Z''58,-Z''59,-Z''60,-Z''61,-Z''62,-Z''63,-Z''64,-Z''65,-Z''66,-Z''67,-Z''68,-Z''69,-Z''70,-Z''71,-Z''72,-Z''73,-Z''74,-Z''75,-Z''76,-Z''77,-Z''78,-Z''79,-Z''80
5,-0.462486754,-0.453539366,-0.444616063,-0.440124306,-0.431188961,-0.431176919,-0.417797985,-0.40440701,-0.39544758,-0.373181471,-0.355358949,-0.337536428,-0.328625167,-0.31082673,-0.270786268,-0.284117033,-0.252963747,-0.230721722,-0.199580478,-0.172906907,-0.137334118,-0.115092093,-0.08840648,-0.061696782,-0.052797564,-0.026111951,0.000597747,0.00952105,0.027367656,0.04965785,0.072020297,0.089866903,0.10331809,0.116757234,0.143503059,0.214937651,0.264154303,0.308879198,0.36705528,0.416356228,0.474700901,0.537513246,0.161361707,0.188131616,0.21042181,0.25512262,0.286540835,0.331289815,0.376086963,0.429903752,0.510598831,0.497123559,-0.101725202,-0.386560404,-0.413366439,-0.453539366,-0.386560404,-0.346435646,-0.297459839,-0.230745806,-0.159600228,-0.083999019,-0.00834964,0.049633765,0.063084952,0.116660896,0.228340669,0.282049078,0.344716917,0.385058435,0.394029907,0.438887266,0.456757957,0.483696457,0.52851769,-0.150688967,-0.026148077,0.045190177,0.080967685,0.183627816,-0.327857143,-0.31487013,-0.307077922,-0.296688312,-0.286298701,-0.283701299,-0.273311688,-0.260324675,-0.24474026,-0.234350649,-0.223961039,-0.213571429,-0.208376623,-0.203181818,-0.192792208,-0.192792208,-0.182402597,-0.177207792,-0.169415584,-0.166818182,-0.161623377,-0.156428571,-0.151233766,-0.140844156,-0.138246753,-0.133051948,-0.122662338,-0.11487013,-0.099285714,-0.083701299,-0.052532467,-0.036948052,-0.010974026,0.012402597,0.030584416,0.103311688,0.176038961,0.238376623,0.326688312,0.417597403,0.542272727,0.672142857,0.048766234,0.072142857,0.087727273,0.14487013,0.212402597,0.279935065,0.357857143,0.464350649,0.617597403,0.586428571,-0.148636364,-0.24474026,-0.275909091,-0.31487013,-0.24474026,-0.216168831,-0.19538961,-0.182402597,-0.172012987,-0.159025974,-0.135649351,-0.088896104,-0.062922078,-0.008376623,0.118896104,0.202012987,0.300714286,0.376038961,0.394220779,0.48512987,0.505909091,0.565649351,0.648766234,-0.166818182,-0.140844156,-0.088896104,-0.039545455,0.059155844
5,-0.389822868,-0.380178817,-0.365777552,-0.346619073,-0.332217808,-0.313059329,-0.274755334,-0.255609818,-0.226885062,-0.198160306,-0.188568105,-0.159817424,-0.140633021,-0.102303101,-0.068730394,-0.054277279,-0.054212467,-0.020639761,0.008162769,0.022564034,0.046557501,0.070576893,0.089813146,0.113910313,0.161923172,0.20051234,0.234266521,0.291949356,0.354467179,0.412292601,0.470195798,0.537730083,0.610177132,0.576409989,0.561879099,0.504001828,0.48953575,0.436415692,0.421949615,0.388182472,0.373729357,0.330382975,0.272661253,0.219761556,0.176376287,0.123502515,0.099457198,0.099457198,0.075411881,0.060958767,0.036978262,-0.00141647,-0.035015101,-0.054251355,-0.078257784,-0.102251251,-0.135849882,-0.155034286,-0.198121419,-0.226833212,-0.236438377,-0.289091787,-0.317816543,-0.341784085,-0.360968488,-0.375382716,-0.380178817,-0.389822868,-0.365764589,-0.341784085,-0.293887888,-0.255609818,-0.174218689,-0.08797961,-0.063882444,-0.025448824,0.003379631,0.056175628,0.094596285,0.133055829,-0.256979695,-0.241751269,-0.231598985,-0.226522843,-0.216370558,-0.211294416,-0.203680203,-0.201142132,-0.19606599,-0.190989848,-0.185913706,-0.175761421,-0.165609137,-0.152918782,-0.135152284,-0.114847716,-0.10215736,-0.084390863,-0.064086294,-0.05393401,-0.038705584,-0.018401015,0.001903553,0.037436548,0.072969543,0.13642132,0.189720812,0.245558376,0.311548223,0.395304569,0.49428934,0.605964467,0.743020305,0.687182741,0.651649746,0.557741117,0.534898477,0.435913706,0.413071066,0.357233503,0.336928934,0.2785533,0.215101523,0.159263959,0.093274112,0.04251269,0.01713198,0.01713198,-0.008248731,-0.028553299,-0.041243655,-0.066624366,-0.089467005,-0.109771574,-0.127538071,-0.142766498,-0.165609137,-0.175761421,-0.183375635,-0.185913706,-0.193527919,-0.201142132,-0.206218274,-0.216370558,-0.226522843,-0.239213198,-0.241751269,-0.256979695,-0.229060914,-0.216370558,-0.203680203,-0.201142132,-0.185913706,-0.157994924,-0.122461929,-0.089467005,-0.064086294,-0.028553299,0.001903553,0.039974619
5,-0.535711192,-0.526346627,-0.517032274,-0.479925498,-0.424240228,-0.377819098,-0.312869687,-0.257184417,-0.247870064,-0.23843018,-0.192009051,-0.080487874,-0.145613027,-0.071248839,-0.03384079,-0.015036341,0.012982037,0.022346602,-0.108355615,0.059654227,0.069370277,0.134721385,0.134997552,0.190933883,0.19121005,0.247221699,0.256762007,0.294044526,0.285031445,0.303835894,0.33192959,0.341444792,0.34164564,0.360550513,0.379354962,0.379505599,0.398335153,0.39861132,0.389673558,0.399238972,0.418118739,0.445810738,0.360450089,0.313175353,0.24734723,0.19133558,0.172280071,0.15342541,0.106728114,0.087973877,0.087547074,0.04077446,0.003265986,-0.061984698,-0.043305779,-0.089827333,-0.127034533,-0.20134851,-0.275612274,-0.303555334,-0.405611521,-0.424190015,-0.535510344,-0.55413905,-0.554189262,-0.498478886,-0.424215121,-0.312919899,-0.229341782,-0.18287044,-0.108405827,-0.052369072,0.031460107,0.05950359,0.07810719,0.106251098,0.190758141,0.247045957,0.303760576,0.380409417,-0.340148305,-0.32884887,-0.323199153,-0.317549435,-0.30625,-0.294950565,-0.28365113,-0.272351695,-0.266701977,-0.246927966,-0.235628531,-0.196080508,-0.227153955,-0.198905367,-0.159357345,-0.128283898,-0.10286017,-0.091560734,-0.204555085,-0.063312147,-0.012464689,0.044032486,0.075105932,0.114653955,0.145727401,0.19375,0.224823446,0.250247175,0.278495763,0.309569209,0.343467514,0.371716102,0.394314972,0.436687853,0.467761299,0.484710452,0.518608757,0.549682203,0.586405367,0.620303672,0.659851695,0.64855226,0.425388418,0.318043785,0.207874294,0.159851695,0.100529661,0.063806497,0.021433616,-0.003990113,-0.052012712,-0.10286017,-0.153707627,-0.198905367,-0.181956215,-0.204555085,-0.221504237,-0.244103107,-0.26105226,-0.278001412,-0.294950565,-0.300600282,-0.317549435,-0.32884887,-0.334498587,-0.320374294,-0.303425141,-0.289300847,-0.266701977,-0.249752825,-0.210204802,-0.159357345,-0.108509887,-0.080261299,-0.071786723,-0.032238701,0.094879943,0.173975989,0.301094633,0.586405367
5,-0.44705044,-0.405968786,-0.363333679,-0.322359159,-0.340893463,-0.284500557,-0.249987607,-0.219887065,-0.194296388,-0.170460768,-0.13051417,-0.092085122,-0.058698844,-0.030693932,-0.010290778,0.013561693,0.044230525,0.065790684,0.088538686,0.119196284,0.143058704,0.173734107,0.207808201,0.235061968,0.255511931,0.27594262,0.310033234,0.337300769,0.364573811,0.386139477,0.411166979,0.439531309,0.466790584,0.494049859,0.521303626,0.55294956,-0.446476381,-0.432065504,-0.412809725,-0.374298168,-0.355042389,-0.331065538,-0.31668562,-0.297569151,-0.278390767,-0.264057285,-0.230498982,-0.182545282,-0.144203992,-0.115459634,-0.101141631,-0.072412752,-0.034040504,0.540660911,0.497474719,0.459257261,0.416179421,0.373039665,0.329930867,0.282008125,0.258031275,0.219720943,0.195836966,0.162294142,0.128766797,0.071262602,0.028107367,-0.010233922,-0.034117899,-0.058094749,-0.091575657,-0.105909139,-0.129839553,0.047254794,0.114433315,-0.335802089,-0.321468607,-0.412856162,-0.427282518,-0.393569425,-0.391788918,-0.38701292,-0.381477104,-0.353472387,-0.385818921,-0.325033488,-0.291360287,-0.257463966,-0.235971974,-0.205286185,-0.166600598,-0.117169016,-0.07776703,-0.059857036,-0.027619048,-0.000586897,0.03387193,0.06280652,0.081751313,0.1186459,0.143520891,0.17655488,0.215359866,0.247597854,0.269686847,0.295954837,0.331177825,0.360430814,0.388489804,0.416230395,0.436050787,0.475054774,0.506098763,0.537142752,0.56938074,0.604177299,-0.395822701,-0.389110487,-0.389110487,-0.389110487,-0.389110487,-0.368973845,-0.355549418,-0.325344456,-0.308563921,-0.285071173,-0.25486621,-0.214592927,-0.177675751,-0.147470789,-0.120621934,-0.087060865,-0.056855902,0.587516626,0.557311663,0.493545632,0.439847921,0.399574638,0.352589141,0.305603645,0.285467003,0.241837613,0.20156433,0.168003261,0.131086085,0.074032267,0.037115091,0.000197915,-0.040075368,-0.060212009,-0.107197506,-0.130690254,-0.160895217,0.06060784,0.107593337,-0.38575438,-0.362261632,-0.379042166,-0.382398273,-0.38575438
5,-0.439524184,-0.371594159,-0.329626709,-0.289934899,-0.254097579,-0.229652273,-0.196313596,-0.154819882,-0.105808232,-0.072476524,-0.040491641,-0.001028801,0.030723175,0.070418923,0.113362527,0.127573507,0.175237416,0.208595348,0.243976636,0.284818577,0.318163672,0.351531875,0.383317228,0.423009124,0.461128441,0.49925546,0.527850725,0.556442138,-0.43678139,-0.396468963,-0.369622879,-0.342820094,-0.329418702,-0.302615917,-0.282589604,-0.262476691,-0.242407077,-0.195448079,-0.175465066,-0.148748882,-0.108609655,-0.075117,-0.021554731,-0.001485118,0.025296017,0.052120451,0.098971199,0.152576768,0.233006772,0.286504091,0.313285225,0.346821181,0.380183936,0.433767855,0.460462389,0.507421387,0.246191664,0.092259678,0.011937925,-0.028158002,-0.095273213,-0.13541244,-0.162106974,-0.20209465,-0.295839446,-0.32259893,-0.3762911,-0.396468963,-0.430113169,-0.443557862,-0.309305788,-0.269166562,-0.108479755,-0.041667644,0.125773984,0.186069424,0.366869144,0.393542028,0.206074087,0.098992849,-0.423354277,-0.404520737,-0.368578865,-0.325193033,-0.286261711,-0.250114457,-0.213214136,-0.165497023,-0.11579455,-0.077593475,-0.043500043,4.10E-05,0.035024388,0.077675409,0.110262706,0.140453878,0.18621986,0.219525994,0.258411676,0.300035786,0.335738045,0.367127279,0.395880776,0.439250634,0.478067855,0.515447402,0.543482061,0.572235558,-0.427764442,-0.411600314,-0.395436186,-0.371189994,-0.359066898,-0.334820705,-0.302492449,-0.286328321,-0.262082129,-0.229753873,-0.189343553,-0.148933233,-0.100440848,-0.068112592,-0.011538144,0.012708048,0.040995272,0.061200432,0.113733849,0.162226233,0.230923777,0.299621321,0.327908545,0.352154738,0.408729186,0.461262602,0.505713954,0.53804221,0.283457193,0.109692816,0.020790112,-0.035784336,-0.076194656,-0.124687041,-0.169138393,-0.245918001,-0.342902769,-0.375231026,-0.407559282,-0.411600314,-0.415641346,-0.419682378,-0.342902769,-0.294410385,-0.124687041,-0.027702272,0.137980041,0.194554489,0.380441962,0.428934346,0.230923777,0.109692816
5,0.327114654,0.3075209,0.294366277,0.294145191,0.280976751,0.28085239,0.267683951,0.267476682,0.241429978,0.228330627,0.202214833,0.195554615,0.1824829,0.182317086,0.175753593,0.169051921,0.149444348,0.149195627,0.136054822,0.122914018,0.090317639,0.064243298,0.038168958,0.005766029,-0.013731,-0.033172758,-0.097840438,-0.136627228,-0.181866968,-0.227120526,-0.246534648,-0.304666471,-0.337014129,-0.369334151,-0.459772178,-0.472705714,-0.537290486,-0.588941723,-0.64704591,-0.672885346,-0.608342027,-0.511478686,-0.414601527,-0.369375605,-0.27885467,-0.05903983,-0.007167507,0.031660736,0.044815359,0.077328831,0.103430807,0.096881132,0.123079833,0.142645951,0.136469359,0.156035477,0.156367107,0.215286548,0.222002038,0.24160961,0.320592614,0.294476821,0.294297188,0.274703434,0.274302715,0.26755959,0.235046117,0.202311559,0.202145744,0.176112858,0.175629232,0.14930617,0.129449876,0.070765338,0.051157766,-0.569569055,-0.466238946,-0.401681809,-0.311147057,-0.194800504,0.612099851,0.574477807,0.534637887,0.49921735,0.457163646,0.437239594,0.39518589,0.361979137,0.324361184,0.293376398,0.244689528,0.211486867,0.184929648,0.158364245,0.140658069,0.100814057,0.060978228,0.021130124,-0.016496012,-0.054122149,-0.107232494,-0.149278014,-0.191323534,-0.213440909,-0.235566469,-0.248836894,-0.27093381,-0.281978175,-0.293018449,-0.306272506,-0.315115364,-0.32393367,-0.337195912,-0.346030586,-0.361469782,-0.365889166,-0.37470338,-0.379098211,-0.383488949,-0.387900149,-0.385727285,-0.374719748,-0.361498427,-0.352671937,-0.323950038,-0.25767566,-0.217860292,-0.200174576,-0.160334656,-0.120507012,-0.074033925,-0.089526318,-0.027556746,0.005637731,0.049917495,0.083111972,0.136242778,0.271246747,0.313304543,0.353140371,0.601035026,0.552348155,0.523568969,0.485946924,0.421747201,0.375261838,0.335434194,0.260186013,0.23362061,0.198216441,0.120734017,0.038840393,-0.04084354,-0.138213188,-0.178049016,-0.376896703,-0.363679474,-0.359292827,-0.328357145,-0.297437832
5,-0.417645052,-0.380306071,-0.338452313,-0.295938799,-0.250217359,-0.202954706,-0.160055617,-0.127469015,-0.087453297,-0.078431986,-0.021972782,0.019562948,0.043329531,0.078600819,0.068189577,0.105611751,0.120862164,0.101933994,0.114949557,0.1224704,0.147530955,0.137954894,0.125133149,0.133957517,0.137042261,0.136217342,0.134042279,0.144994787,0.142819724,0.154280806,0.149894354,0.149794456,0.149694557,0.149594659,0.180022833,0.158957872,0.158857974,0.158758075,0.158658177,0.53570235,0.582354948,-0.404609202,-0.36271961,-0.314940692,-0.296991659,-0.219318979,-0.189399667,-0.147561175,-0.105697134,-0.051837262,-0.003994468,0.043937752,0.074074241,0.086274473,0.104312931,0.10426183,0.104440682,0.116692014,0.140990277,0.135471429,0.129684303,0.142242238,0.154340269,0.135343678,0.159705816,0.110559961,0.080116869,0.04998038,0.007988587,-0.057841565,-0.28502138,-0.416566707,-0.392664472,-0.368711138,-0.27307665,-0.24916164,-0.135616446,-0.033926555,0.02601427,0.062346688,-0.327445329,-0.308691509,-0.294892045,-0.277677257,-0.264421721,-0.250952173,-0.238258508,-0.221575396,-0.21459342,-0.201616457,-0.175419381,-0.149776982,-0.111233761,-0.055110284,-0.090971081,0.021454186,0.124227444,-0.002782495,0.046563857,0.075200103,0.262411071,0.111745734,0.095144925,0.152933027,0.196404329,0.176458278,0.167253608,0.226318915,0.217114245,0.362103039,0.337556307,0.32067848,0.303800652,0.286922824,0.447779499,0.435748906,0.418871078,0.40199325,0.385115423,0.672554671,0.672523474,-0.317423056,-0.295867461,-0.287265969,-0.278644529,-0.259271224,-0.244182706,-0.23126052,-0.21402163,-0.185998957,-0.166605704,-0.132103986,-0.080323481,-0.035006065,-0.011276159,-0.019909568,0.010307362,0.064258188,0.137626204,0.213172519,0.243393439,0.349144717,0.377195316,0.191588998,0.275748774,0.036203599,-0.067377358,-0.119157862,-0.157980275,-0.192470024,-0.272177452,-0.321731781,-0.315272683,-0.300180176,-0.270027079,-0.261409628,-0.229110147,-0.183852574,-0.136408721,-0.045781867
5,-0.507627626,-0.503340269,-0.481360295,-0.458759557,-0.434717515,-0.410041557,-0.386020887,-0.362668486,-0.338069171,-0.310862962,-0.283026621,-0.266574291,-0.236950389,-0.208299383,-0.190192688,-0.161511989,-0.140734991,-0.112748318,-0.089760885,-0.065714182,-0.039460227,-0.018687055,0.010385282,0.029518799,0.058379938,0.086147875,0.104781943,0.126134875,0.154643178,0.179986022,0.202619512,0.22720137,0.251478298,0.276406328,0.301030154,0.312718767,0.325657926,0.343772131,0.366168909,0.401906447,0.420701603,0.442729826,0.434164245,0.466861194,0.457596461,0.48105575,0.492372374,0.391047297,0.408108534,0.421701767,0.466027529,-0.494810017,-0.467657003,-0.440559745,-0.42361002,-0.399891556,-0.338984057,-0.291591733,-0.220570154,-0.166464847,-0.048240514,0.002452545,0.05988089,0.073373764,0.147629172,0.377476366,0.452267028,0.428448204,-0.169854793,-0.261149135,-0.322034332,-0.366025559,-0.396523913,-0.474459196,-0.105635406,0.012588927,0.194887682,0.408008173,0.489757144,0.107117098,-0.354716529,-0.414323949,-0.343335885,-0.287723911,-0.236417688,-0.191552006,-0.154765229,-0.119264757,-0.091084116,-0.061088996,-0.030833242,-0.020884323,-0.004824058,0.015952687,0.020937762,0.030585644,0.037778069,0.035059468,0.047408053,0.03631486,0.038608141,0.032808969,0.024580524,0.019464733,0.002860111,-0.013355949,-0.020020411,-0.037262815,-0.059250886,-0.075506406,-0.091307946,-0.110371178,-0.118042424,-0.12047879,-0.111030502,-0.065333974,-0.098901124,-0.053429642,-0.005250308,0.115341477,0.194732248,0.298499192,0.23814985,0.424540176,0.366900563,0.514044235,0.585676051,0.051132765,0.16476869,0.217798789,0.490525008,-0.365532293,-0.282199281,-0.236744911,-0.19886627,-0.1534119,-0.092806073,-0.032200246,0.013254124,0.043557037,0.020829852,0.02840558,0.020829852,0.005678395,-0.047351703,0.013254124,0.323858985,0.21022306,0.035981309,-0.009473061,-0.054927431,-0.100381801,-0.160987628,-0.312502194,0.051132765,0.02840558,-0.077654616,0.096587135,0.543555107,-0.024624518
5,-0.429360398,-0.409281056,-0.390874992,-0.365775815,-0.339003359,-0.317920049,-0.298844674,-0.278765332,-0.25868599,-0.238606648,-0.218527306,-0.198447964,-0.178368622,-0.15828928,-0.138209938,-0.118130595,-0.098051253,-0.077971911,-0.057892569,-0.044506341,-0.014387328,0.000672179,0.025771356,0.045850698,0.065930041,0.086009383,0.106088725,0.126168067,0.146247409,0.166326751,0.181386258,0.199792321,0.229911334,0.263376905,0.303535589,0.34704083,0.400585742,0.460823769,-0.539176231,-0.534997112,-0.530817993,-0.514101517,-0.503653719,-0.497385041,-0.476489445,-0.466041647,-0.45350429,-0.440966933,-0.108726966,-0.037681942,-0.025144584,0.010377928,0.020825726,0.058437797,0.075154274,0.096049869,0.114855905,0.13784106,0.152467977,0.192169608,0.213065203,0.221423442,0.240229477,0.246498156,0.271572871,0.284110228,0.290378906,0.307095383,0.325901419,0.334259657,0.338438776,0.359334371,0.369782169,0.378140407,0.384409086,0.405304681,0.422021158,0.432468955,0.442916753,-0.522459755,-0.215077477,-0.205748083,-0.199113472,-0.191238635,-0.184762966,-0.18562366,-0.186710403,-0.185841843,-0.193243066,-0.198273696,-0.204865876,-0.212935778,-0.223912386,-0.235278893,-0.245214468,-0.255382032,-0.271053038,-0.269816023,-0.258439653,-0.256859869,-0.219189089,-0.214887228,-0.17815003,-0.164048257,-0.137019994,-0.108754448,-0.077707613,-0.041981976,-0.009589986,0.027987677,0.052895762,0.107020215,0.17353971,0.24741387,0.331166494,0.429233501,0.539948412,0.660050513,-0.339949487,-0.327697645,-0.321580746,-0.284843266,-0.272618491,-0.266510614,-0.248196006,-0.235971231,-0.223755477,-0.214607195,-0.255918816,-0.243955678,-0.237874867,-0.198151114,-0.188993809,-0.146211606,-0.121744012,-0.091159518,-0.057498531,-0.017720646,0.009823442,0.077136394,0.135328129,0.147561927,0.199627741,0.20880309,0.270044252,0.29146242,0.312907653,0.355780076,0.377171177,0.392472446,0.41085923,0.453713609,0.47820827,0.493509538,0.5118873,0.563944093,0.594546631,0.628243705,0.646603423,-0.303212006
5,-0.497689491,-0.48188044,-0.467931277,-0.384236299,-0.35788788,-0.328439646,-0.266443366,-0.230795505,-0.199797365,-0.165699411,-0.147100527,-0.13005155,-0.103703131,-0.075804805,-0.056275976,-0.040156943,-0.020008152,-0.000479324,0.017189616,0.0357885,0.054387384,0.072986268,0.090035245,0.133432641,0.150481618,0.169080502,0.188609331,0.206588252,0.224877155,0.235726504,0.262074923,0.280673807,0.299272691,0.317871575,0.336470459,0.355069343,0.373668227,0.392267111,0.410865995,0.429464879,0.448063763,0.466662647,0.485261532,0.502310509,-0.491784512,-0.476300548,-0.46275208,-0.447268116,-0.433719648,-0.422106675,-0.414364693,-0.398880729,-0.365977306,-0.340815865,-0.313718929,-0.292428479,-0.27888001,-0.242105596,-0.213073164,-0.180169741,-0.116298391,-0.083394968,-0.067911004,-0.025330104,-0.005975149,0.01144431,0.040476742,0.059831697,0.102412597,0.119832056,0.121767552,0.137251515,0.218542325,0.203058361,0.249510253,0.292091153,0.330801062,0.373381963,0.400478899,0.427575836,-0.682022859,-0.586179649,-0.426185281,0.039351666,0.1040078,0.161355628,0.232521055,0.298796522,0.309023888,0.295643084,0.28439298,0.266654891,0.216487527,0.176068121,0.128214699,0.10397584,0.03365204,-0.007681436,-0.072158591,-0.108764041,-0.156236068,-0.196463711,-0.207319634,-0.183221401,-0.138295562,-0.113323742,-0.076780083,-0.057590986,-0.027541704,0.004834304,0.004290975,0.038318276,0.046990231,0.064717666,0.077011813,0.087494864,0.083489146,0.077672331,0.07004442,0.058794317,0.052977502,0.034483014,0.030477295,0.031936825,-0.639744322,-0.490793809,-0.341803385,-0.247132802,-0.179562272,-0.098381848,-0.044261565,0.036839035,0.090440466,0.117061578,0.184352726,0.19748368,0.251484227,0.277865869,0.317977141,0.303728659,0.275271608,0.193173215,0.165713956,0.083416004,0.028736957,-0.066612125,-0.135060712,-0.176169777,-0.217757781,-0.218116987,-0.191016934,-0.15062628,-0.030172731,-0.056993402,-0.003671353,0.076870483,0.089642231,0.075194191,0.074635427,0.074076663
